feature,xgb_imp,lgb_imp,avg_imp
decay30d_w_credit,0.09193219,878.2,439.1459660962224
avg_days_between_txn,0.18084785,411.6,205.8904239267111
hist_txn_cv,0.009088367,260.6,130.30454418361188
lag6m_txn,0.06230407,244.8,122.43115203417838
roll12m_std_txn,0.0072915778,231.6,115.8036457888782
trend_1m_vs_3m,0.008340266,212.6,106.30417013280093
hist_std_monthly_txn,0.0056540417,193.2,96.60282702082768
lag12m_txn,0.018632067,167.4,83.70931603368372
vel_60d_debit_count,0.0067116627,163.0,81.50335583137348
roll6m_std_txn,0.008006774,143.6,71.80400338694453
anomaly_iso_raw,0.0115366625,142.6,71.30576833123341
cat_frac_Charges & Fees,0.018497154,133.8,66.90924857705832
roll3m_std_txn,0.004495701,133.4,66.70224785041064
dc_credit_count,0.0046381494,129.4,64.70231907470152
dc_debit_count,0.0035666067,122.4,61.20178330333438
lag2m_debit_sum,0.005866236,122.0,61.002933118026704
roll12m_net_flow,0.001927675,121.6,60.800963837490414
hist_std_debit_ratio,0.055428725,120.2,60.12771436236799
vel_7d_total_amt,0.0047948947,119.4,59.70239744735882
hist_iqr_txn,0.0051512164,114.8,57.402575608203186
type_emb_comp_8,0.002968321,114.2,57.10148416054435
lag2m_amt,0.008485877,113.6,56.80424293847754
cat_frac_Interest & Investments,0.015155877,105.2,52.60757793849334
hist_dec_std_txn,0.004669792,102.0,51.002334896009415
hist_mean_holiday_frac,0.0020156591,99.0,49.50100782955997
decay30d_dc_ratio,0.005433279,98.6,49.30271663954481
chan_emb_comp_5,0.0021579305,97.0,48.501078965258785
lag3m_debit_sum,0.003311975,96.0,48.00165598746389
hist_jan_std_txn,0.002980024,95.4,47.70149001204409
vel_7d_debit_count,0.007610012,95.0,47.50380500592291
vel_14d_total_amt,0.004143272,94.6,47.30207163603045
ch_frac_System Defined,0.004495276,93.8,46.90224763806909
lag6m_debit_ratio,0.0024195735,91.8,45.901209786743856
days_since_last_txn,0.10305653,91.6,45.851528263837096
lag3m_amt,0.0030385556,87.2,43.60151927780826
chan_emb_comp_2,0.0016926372,86.4,43.20084631860955
type_emb_comp_9,0.002910311,85.6,42.8014551555505
roll3m_debit_ratio,0.003246903,84.8,42.401623451476915
lag2m_debit_ratio,0.0034699738,84.2,42.101734986901285
dc_credit_q75,0.002468767,84.2,42.10123438355513
type_emb_comp_2,0.003912646,84.0,42.00195632292889
ch_frac_Other Charges,0.005680376,83.2,41.60284018809907
cat_frac_Transfers & Payments,0.002625521,82.4,41.2013127605198
roll3m_debit_sum,0.0048157633,80.0,40.00240788166411
dc_debit_dominance,0.003929957,79.8,39.90196497840807
type_emb_comp_5,0.0017751853,79.2,39.60088759267237
chan_emb_comp_4,0.0021005776,78.8,39.40105028878897
chan_emb_comp_0,0.0018577983,75.2,37.60092889915686
lag3m_debit_ratio,0.0025065464,74.6,37.30125327322166
hist_nov_std_txn,0.0024449343,74.0,37.00122246716637
hist_jan_mean_amt,0.0017167635,68.8,34.400858381739816
ch_frac_Transaction Service Fees,0.0020711175,66.6,33.3010355587583
amt_cv,0.0018708787,65.6,32.80093543936964
cat_frac_Withdrawals,0.002178691,64.8,32.40108934554737
hist_mean_debit_ratio,0.0026964596,64.0,32.001348229823634
hist_min_monthly_txn,0.006596183,63.6,31.803298091469333
roll6m_debit_ratio,0.002327736,63.6,31.80116386800073
amt_q90,0.002937896,63.2,31.601468947972172
hist_mean_amt_cv,0.0017219061,62.8,31.400860953063237
lag2m_credit_sum,0.0028878276,62.4,31.201443913788534
roll12m_debit_ratio,0.0022669067,61.0,30.50113345333375
lag6m_credit_sum,0.002232344,59.8,29.901116171944885
dc_credit_cv,0.002214472,58.6,29.3011072360212
decay180d_dc_ratio,0.0031186496,57.4,28.70155932479538
lag3m_credit_sum,0.002385431,55.2,27.60119271548465
type_emb_comp_1,0.0026628799,55.0,27.50133143994026
cat_frac_Reversals & Adjustments,0.0027064222,54.8,27.40135321111884
lag12m_amt,0.0015382196,54.6,27.30076910981443
decay30d_w_amt,0.0025984603,52.6,26.301299230149016
lag12m_debit_ratio,0.0023665547,52.6,26.301183277345263
dc_credit_mean,0.0026783491,52.0,26.00133917457424
lag12m_debit_sum,0.0021031196,50.8,25.401051559811457
lag6m_debit_sum,0.0018782333,50.4,25.20093911663862
dc_net_flow,0.0021506965,50.2,25.101075348234737
ch_frac_Credit/Debit Service,0.002016123,49.8,24.901008061459287
amt_skew,0.0019723715,48.6,24.30098618573975
cat_frac_Other / Unclassified,0.001245054,48.2,24.10062252697535
hist_nov_mean_amt,0.0019207172,47.2,23.60096035859315
hist_dec_mean_credit,0.0014748377,46.6,23.300737418828067
lag6m_amt,0.0027733475,44.2,22.101386673771778
dc_debit_std,0.0021558008,43.0,21.501077900407836
dc_credit_max,0.0016954339,42.0,21.000847716932185
hist_nov_mean_debit,0.002041688,39.2,19.60102084397804
hist_std_net_flow,0.0014968293,37.0,18.500748414662667
hist_dec_mean_debit,0.001940784,34.4,17.20097039202228
CertificationTypeDescription_enc,0.0013380231,29.2,14.600669011555146
cat_frac_Teller & Branch Transactions,0.0026275918,26.4,13.201313795917667
dc_debit_sum,0.0017485026,26.2,13.100874251301866
decay180d_w_amt,0.0016313111,24.2,12.100815655570477
MaritalStatus_enc,0.001547792,22.4,11.200773895997553
dc_debit_max,0.0017983898,21.6,10.800899194914383
hist_max_amount,0.0014351222,20.8,10.400717561109923
festive_mean_amt,0.0012622171,20.6,10.300631108530798
n_categories,0.0011942999,15.0,7.5005971499485895
LowIncomeFlag_enc,0.0009932173,13.0,6.500496608670801
CustomerBankingType_enc,0.006101596,10.4,5.203050798084587
n_channels,0.001690096,7.8,3.9008450479945167
anomaly_iso_flag,0.1525453,2.8,1.476272651553154
customer_segment_dist,0.0086828265,0.6,0.3043414132669568
pca_comp_6,0.0026728138,0.2,0.10133640691637993
